"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
14319,0,0.002,0,0,0,0.0446989708829856
14320,0,0.003,0,0,0,0.054717401199198
14321,0,0,0,0,0,0
14322,0,0,0,0,0,0
14323,0,0,0,0,0,0
14324,0,0.001,0,0,0,0.0316227766016838
14325,0,0,0,0,0,0
14326,0,0,0,0,0,0
14327,0,0,0,0,0,0
14328,0,0,0,0,0,0
14329,0,0,0,0,0,0
14330,0,0.001,0,0,0,0.0316227766016838
14331,0,0,0,0,0,0
14332,0,0.003,0,0,0,0.054717401199198
14333,0,0.001,0,0,0,0.0316227766016838
14334,0,0.001,0,0,0,0.0316227766016838
14335,0,0.003,0,0,0,0.054717401199198
14336,0,0.011,0,0,0,0.104354635210372
14337,0,0.029,0,1,1,0.167890402308134
14372,0,0.434,0,1,1,0.495872856577056
14373,1,0.631,0,1,1,0.482775384699833
14374,1,0.628,0,1,1,0.483580241376599
14375,1,0.63,0,1,1,0.483045891539648
14376,1,0.55,0,1,1,0.497742652128334
14377,1,0.515,0,1,1,0.500025024398804
14378,0,0.195,0,1,1,0.396398955765693
14379,0,0.066,0,1,1,0.248406331855099
14380,0,0.029,0,1,1,0.167890402308134
14381,0,0.017,0,0,0,0.129335717138491
14382,0,0.007,0,0,0,0.0834143750078963
14383,0,0.002,0,0,0,0.0446989708829856
14384,0,0,0,0,0,0
14385,0,0,0,0,0,0
14386,0,0,0,0,0,0
14387,0,0,0,0,0,0
14388,0,0.01,0,0,0,0.0995485304256668
14389,0,0.02,0,0,0,0.140070052543788
14390,0,0.03,0,1,1,0.170672578726429
14391,0,0.029,0,1,1,0.167890402308134
14392,0,0.045,0,1,1,0.207407854282373
14393,0,0.043,0,1,1,0.202958597236462
14394,0,0.021,0,0,0,0.143455845400526
14395,0,0.032,0,1,1,0.176088066055048
14396,0,0.026,0,1,1,0.159214789983058
14397,0,0.019,0,0,0,0.136593036636783
14398,0,0.006,0,0,0,0.0772655807586403
14399,0,0.009,0,0,0,0.0944877131056093
14400,0,0.002,0,0,0,0.0446989708829856
14401,0,0,0,0,0,0
14402,0,0,0,0,0,0
14403,0,0,0,0,0,0
14404,0,0,0,0,0,0
14405,0,0,0,0,0,0
14406,0,0,0,0,0,0
14407,0,0,0,0,0,0
14408,0,0,0,0,0,0
14409,0,0.001,0,0,0,0.0316227766016838
14410,0,0,0,0,0,0
14411,0,0,0,0,0,0
14412,0,0,0,0,0,0
14413,0,0.002,0,0,0,0.0446989708829856
14414,0,0.002,0,0,0,0.0446989708829856
14415,0,0.003,0,0,0,0.054717401199198
